nm, %R
3300.000000, 1.241900
3299.000000, -7.338900
3298.000000, 114.902394
3297.000000, 219.127524
3296.000000, -9.848800
3295.000000, 248.147451
3294.000000, 0.593400
3293.000000, 213.271186
3292.000000, 6.097100
3291.000000, -7.967200
3290.000000, 7.487700
3289.000000, -5.185500
3288.000000, 54.148076
3287.000000, -9.389700
3286.000000, 78.965224
3285.000000, 17.187100
3284.000000, -1695.966838
3283.000000, -31.907287
3282.000000, 282.365890
3281.000000, 197.648827
3280.000000, -223.490104
3279.000000, -33.550900
3278.000000, -66.046100
3277.000000, 0.792767
3276.000000, -242.317508
3275.000000, 13.619900
3274.000000, 41.376630
3273.000000, -66.519700
3272.000000, 6.548596
3271.000000, 205.848372
3270.000000, -93.940860
3269.000000, 604.110624
3268.000000, 28.950900
3267.000000, -38.745116
3266.000000, 3.395149
3265.000000, -14.056267
3264.000000, -7.095075
3263.000000, -126.005156
3262.000000, -38809.571400
3261.000000, -132.415952
3260.000000, -29.128642
3259.000000, 18.248798
3258.000000, 28.260821
3257.000000, 7.245677
3256.000000, 36.916218
3255.000000, -0.874103
3254.000000, 3.249936
3253.000000, -13.185159
3252.000000, 2.863963
3251.000000, 3.466865
3250.000000, 14.284698
3249.000000, 13.110647
3248.000000, 4.405063
3247.000000, 0.408775
3246.000000, 4.120077
3245.000000, -7.666519
3244.000000, -8.437026
3243.000000, 10.459065
3242.000000, 1.779164
3241.000000, 8.486796
3240.000000, 6.624215
3239.000000, 9.957272
3238.000000, 1.841821
3237.000000, 5.329359
3236.000000, 6.204022
3235.000000, 16.536767
3234.000000, 4.159259
3233.000000, 4.514752
3232.000000, 7.355813
3231.000000, 0.368087
3230.000000, 1.885573
3229.000000, 2.756209
3228.000000, 6.633793
3227.000000, 2.919472
3226.000000, -3.974306
3225.000000, -1.072927
3224.000000, 1.994934
3223.000000, 7.508677
3222.000000, 8.115797
3221.000000, 6.646757
3220.000000, 4.852527
3219.000000, 1.130493
3218.000000, 1.268559
3217.000000, 0.981909
3216.000000, -0.780159
3215.000000, 4.807988
3214.000000, 5.225882
3213.000000, 6.119031
3212.000000, 6.686285
3211.000000, 4.363246
3210.000000, 3.591365
3209.000000, 1.936268
3208.000000, 1.962803
3207.000000, 3.538974
3206.000000, 5.344956
3205.000000, 1.446963
3204.000000, 0.480609
3203.000000, 0.046390
3202.000000, 1.667931
3201.000000, 3.529652
3200.000000, 4.060830
3199.000000, 4.616502
3198.000000, 4.232959
3197.000000, 3.290682
3196.000000, 2.944634
3195.000000, 2.143304
3194.000000, 2.640413
3193.000000, 4.532383
3192.000000, 3.067060
3191.000000, 2.017107
3190.000000, 1.078076
3189.000000, 0.497429
3188.000000, 1.512415
3187.000000, 2.675538
3186.000000, 1.007957
3185.000000, 0.999109
3184.000000, 2.852671
3183.000000, 2.509616
3182.000000, 1.903076
3181.000000, 1.885099
3180.000000, 2.542518
3179.000000, 3.457846
3178.000000, 3.167843
3177.000000, 3.192261
3176.000000, 3.732775
3175.000000, 2.027180
3174.000000, 2.085029
3173.000000, 2.961134
3172.000000, 2.869989
3171.000000, 2.911132
3170.000000, 2.249829
3169.000000, 2.216063
3168.000000, 1.855329
3167.000000, 1.454708
3166.000000, 1.657011
3165.000000, 2.021937
3164.000000, 2.355478
3163.000000, 2.311513
3162.000000, 2.168626
3161.000000, 1.747974
3160.000000, 2.072175
3159.000000, 2.823837
3158.000000, 2.512613
3157.000000, 2.767952
3156.000000, 3.190437
3155.000000, 2.610207
3154.000000, 2.341783
3153.000000, 2.183540
3152.000000, 2.139215
3151.000000, 1.978157
3150.000000, 1.895261
3149.000000, 1.961045
3148.000000, 1.920146
3147.000000, 2.219168
3146.000000, 2.215829
3145.000000, 2.390630
3144.000000, 2.895920
3143.000000, 2.395104
3142.000000, 2.157602
3141.000000, 1.900360
3140.000000, 1.939966
3139.000000, 1.794355
