Labels	1ErTZN	
Type	Emission Scan	
Comment		
Start	1399.95000	
Stop	1699.65000	
Step	0.450	
Fixed/Offset	900.00	
Xaxis	Wavelength	
Yaxis	Counts	
Scan Corr. by File	False	
Corr. by Ref. Det.	False	
Fixed/Offset Corr. by File	False	
Repeats	1	
Dwell Time	0.20	
Lamp	uF900	
Temp	0.00	
Scan Polariser	None	
Scan Slit	0.00	
Fixed/Offset Polariser	None	
Fixed/Offset Slit	0.00	
Detector	NIR PMT	

1399.95000	2.329E+4	
1400.4000	2.283E+4	
1400.85000	2.269E+4	
1401.3000	2.253E+4	
1401.75000	2.271E+4	
1402.2000	2.305E+4	
1402.65000	2.282E+4	
1403.1000	2.289E+4	
1403.55000	2.298E+4	
1404.000	2.290E+4	
1404.45000	2.281E+4	
1404.9000	2.260E+4	
1405.35000	2.275E+4	
1405.8000	2.322E+4	
1406.25000	2.301E+4	
1406.7000	2.334E+4	
1407.15000	2.292E+4	
1407.6000	2.279E+4	
1408.05000	2.305E+4	
1408.5000	2.291E+4	
1408.95000	2.305E+4	
1409.4000	2.308E+4	
1409.85000	2.294E+4	
1410.3000	2.283E+4	
1410.75000	2.323E+4	
1411.2000	2.301E+4	
1411.65000	2.272E+4	
1412.1000	2.301E+4	
1412.55000	2.306E+4	
1413.000	2.347E+4	
1413.45000	2.305E+4	
1413.9000	2.316E+4	
1414.35000	2.329E+4	
1414.8000	2.313E+4	
1415.25000	2.326E+4	
1415.7000	2.324E+4	
1416.15000	2.305E+4	
1416.6000	2.305E+4	
1417.05000	2.357E+4	
1417.5000	2.375E+4	
1417.95000	2.372E+4	
1418.4000	2.401E+4	
1418.85000	2.420E+4	
1419.3000	2.415E+4	
1419.75000	2.417E+4	
1420.2000	2.371E+4	
1420.65000	2.401E+4	
1421.1000	2.397E+4	
1421.55000	2.403E+4	
1422.000	2.424E+4	
1422.45000	2.435E+4	
1422.9000	2.456E+4	
1423.35000	2.437E+4	
1423.8000	2.459E+4	
1424.25000	2.451E+4	
1424.7000	2.447E+4	
1425.15000	2.448E+4	
1425.6000	2.429E+4	
1426.05000	2.492E+4	
1426.5000	2.483E+4	
1426.95000	2.471E+4	
1427.4000	2.489E+4	
1427.85000	2.498E+4	
1428.3000	2.485E+4	
1428.75000	2.514E+4	
1429.2000	2.490E+4	
1429.65000	2.519E+4	
1430.1000	2.539E+4	
1430.55000	2.535E+4	
1431.000	2.579E+4	
1431.45000	2.559E+4	
1431.9000	2.603E+4	
1432.35000	2.569E+4	
1432.8000	2.596E+4	
1433.25000	2.587E+4	
1433.7000	2.607E+4	
1434.15000	2.609E+4	
1434.6000	2.632E+4	
1435.05000	2.620E+4	
1435.5000	2.657E+4	
1435.95000	2.674E+4	
1436.4000	2.678E+4	
1436.85000	2.692E+4	
1437.3000	2.700E+4	
1437.75000	2.748E+4	
1438.2000	2.721E+4	
1438.65000	2.765E+4	
1439.1000	2.748E+4	
1439.55000	2.744E+4	
1440.00	2.822E+4	
1440.45000	2.816E+4	
1440.9000	2.857E+4	
1441.35000	2.830E+4	
1441.8000	2.884E+4	
1442.25000	2.890E+4	
1442.7000	2.914E+4	
1443.15000	2.910E+4	
1443.6000	2.921E+4	
1444.05000	2.989E+4	
1444.5000	3.022E+4	
1444.95000	3.048E+4	
1445.4000	3.062E+4	
1445.85000	3.082E+4	
1446.3000	3.101E+4	
1446.75000	3.127E+4	
1447.2000	3.139E+4	
1447.65000	3.169E+4	
1448.1000	3.168E+4	
1448.55000	3.218E+4	
1449.000	3.263E+4	
1449.45000	3.265E+4	
1449.9000	3.310E+4	
1450.35000	3.364E+4	
1450.8000	3.376E+4	
1451.25000	3.456E+4	
1451.7000	3.516E+4	
1452.15000	3.547E+4	
1452.6000	3.602E+4	
1453.05000	3.641E+4	
1453.5000	3.721E+4	
1453.95000	3.799E+4	
1454.4000	3.789E+4	
1454.85000	3.907E+4	
1455.3000	3.930E+4	
1455.75000	4.021E+4	
1456.2000	4.106E+4	
1456.65000	4.175E+4	
1457.1000	4.257E+4	
1457.55000	4.321E+4	
1458.000	4.392E+4	
1458.45000	4.439E+4	
1458.9000	4.579E+4	
1459.35000	4.699E+4	
1459.8000	4.728E+4	
1460.25000	4.900E+4	
1460.7000	5.004E+4	
1461.15000	5.061E+4	
1461.6000	5.279E+4	
1462.05000	5.388E+4	
1462.5000	5.465E+4	
1462.95000	5.703E+4	
1463.4000	5.824E+4	
1463.85000	6.037E+4	
1464.3000	6.145E+4	
1464.75000	6.330E+4	
1465.2000	6.516E+4	
1465.65000	6.678E+4	
1466.1000	6.899E+4	
1466.55000	7.106E+4	
1467.000	7.305E+4	
1467.45000	7.484E+4	
1467.9000	7.679E+4	
1468.35000	7.920E+4	
1468.8000	8.193E+4	
1469.25000	8.453E+4	
1469.7000	8.598E+4	
1470.15000	8.931E+4	
1470.6000	9.111E+4	
1471.05000	9.388E+4	
1471.5000	9.606E+4	
1471.95000	9.944E+4	
1472.4000	1.016E+5	
1472.85000	1.045E+5	
1473.3000	1.073E+5	
1473.75000	1.099E+5	
1474.2000	1.122E+5	
1474.65000	1.151E+5	
1475.1000	1.180E+5	
1475.55000	1.208E+5	
1476.000	1.236E+5	
1476.45000	1.255E+5	
1476.9000	1.287E+5	
1477.35000	1.312E+5	
1477.8000	1.340E+5	
1478.25000	1.360E+5	
1478.7000	1.392E+5	
1479.15000	1.402E+5	
1479.6000	1.424E+5	
1480.05000	1.455E+5	
1480.5000	1.481E+5	
1480.95000	1.500E+5	
1481.4000	1.523E+5	
1481.85000	1.543E+5	
1482.3000	1.558E+5	
1482.75000	1.579E+5	
1483.2000	1.605E+5	
1483.65000	1.631E+5	
1484.1000	1.641E+5	
1484.55000	1.652E+5	
1485.000	1.673E+5	
1485.45000	1.690E+5	
1485.9000	1.715E+5	
1486.35000	1.720E+5	
1486.8000	1.737E+5	
1487.25000	1.744E+5	
1487.7000	1.766E+5	
1488.15000	1.779E+5	
1488.6000	1.801E+5	
1489.05000	1.802E+5	
1489.5000	1.828E+5	
1489.95000	1.834E+5	
1490.4000	1.844E+5	
1490.85000	1.865E+5	
1491.3000	1.873E+5	
1491.75000	1.878E+5	
1492.2000	1.888E+5	
1492.65000	1.902E+5	
1493.1000	1.902E+5	
1493.55000	1.927E+5	
1494.000	1.940E+5	
1494.45000	1.928E+5	
1494.9000	1.955E+5	
1495.35000	1.960E+5	
1495.8000	1.961E+5	
1496.25000	1.972E+5	
1496.7000	1.997E+5	
1497.15000	1.990E+5	
1497.6000	2.001E+5	
1498.05000	1.998E+5	
1498.5000	2.017E+5	
1498.95000	2.021E+5	
1499.4000	2.041E+5	
1499.85000	2.041E+5	
1500.3000	2.052E+5	
1500.75000	2.045E+5	
1501.2000	2.072E+5	
1501.65000	2.066E+5	
1502.1000	2.077E+5	
1502.55000	2.079E+5	
1503.000	2.094E+5	
1503.45000	2.093E+5	
1503.9000	2.096E+5	
1504.35000	2.102E+5	
1504.8000	2.112E+5	
1505.25000	2.116E+5	
1505.7000	2.124E+5	
1506.15000	2.126E+5	
1506.6000	2.134E+5	
1507.05000	2.132E+5	
1507.5000	2.138E+5	
1507.95000	2.141E+5	
1508.4000	2.154E+5	
1508.85000	2.160E+5	
1509.3000	2.174E+5	
1509.75000	2.164E+5	
1510.2000	2.174E+5	
1510.65000	2.181E+5	
1511.1000	2.187E+5	
1511.55000	2.189E+5	
1512.000	2.198E+5	
1512.45000	2.205E+5	
1512.9000	2.202E+5	
1513.35000	2.232E+5	
1513.8000	2.229E+5	
1514.25000	2.242E+5	
1514.7000	2.251E+5	
1515.15000	2.265E+5	
1515.6000	2.268E+5	
1516.05000	2.281E+5	
1516.5000	2.293E+5	
1516.95000	2.308E+5	
1517.4000	2.320E+5	
1517.85000	2.329E+5	
1518.3000	2.356E+5	
1518.75000	2.364E+5	
1519.2000	2.389E+5	
1519.65000	2.398E+5	
1520.1000	2.419E+5	
1520.55000	2.435E+5	
1521.000	2.453E+5	
1521.45000	2.476E+5	
1521.9000	2.485E+5	
1522.35000	2.500E+5	
1522.8000	2.526E+5	
1523.25000	2.535E+5	
1523.7000	2.562E+5	
1524.15000	2.583E+5	
1524.6000	2.593E+5	
1525.05000	2.625E+5	
1525.5000	2.651E+5	
1525.95000	2.661E+5	
1526.4000	2.686E+5	
1526.85000	2.703E+5	
1527.3000	2.728E+5	
1527.75000	2.753E+5	
1528.2000	2.766E+5	
1528.65000	2.791E+5	
1529.1000	2.813E+5	
1529.55000	2.819E+5	
1530.00	2.852E+5	
1530.45000	2.869E+5	
1530.9000	2.882E+5	
1531.35000	2.892E+5	
1531.8000	2.919E+5	
1532.25000	2.920E+5	
1532.7000	2.936E+5	
1533.15000	2.955E+5	
1533.6000	2.970E+5	
1534.05000	2.970E+5	
1534.5000	2.986E+5	
1534.95000	2.995E+5	
1535.4000	2.999E+5	
1535.85000	3.004E+5	
1536.3000	3.006E+5	
1536.75000	3.001E+5	
1537.2000	3.002E+5	
1537.65000	3.003E+5	
1538.1000	2.997E+5	
1538.55000	3.001E+5	
1539.000	3.018E+5	
1539.45000	3.011E+5	
1539.9000	3.019E+5	
1540.35000	3.022E+5	
1540.8000	3.016E+5	
1541.25000	3.019E+5	
1541.7000	3.038E+5	
1542.15000	3.038E+5	
1542.6000	3.021E+5	
1543.05000	3.037E+5	
1543.5000	3.015E+5	
1543.95000	3.014E+5	
1544.4000	3.007E+5	
1544.85000	3.004E+5	
1545.3000	3.009E+5	
1545.75000	2.995E+5	
1546.2000	3.000E+5	
1546.65000	2.989E+5	
1547.1000	2.980E+5	
1547.55000	2.970E+5	
1548.000	2.981E+5	
1548.45000	2.962E+5	
1548.9000	2.966E+5	
1549.35000	2.969E+5	
1549.8000	2.975E+5	
1550.25000	2.983E+5	
1550.7000	2.966E+5	
1551.15000	2.992E+5	
1551.6000	2.994E+5	
1552.05000	2.992E+5	
1552.5000	3.011E+5	
1552.95000	3.023E+5	
1553.4000	3.039E+5	
1553.85000	3.048E+5	
1554.3000	3.060E+5	
1554.75000	3.079E+5	
1555.2000	3.088E+5	
1555.65000	3.095E+5	
1556.1000	3.087E+5	
1556.55000	3.104E+5	
1557.000	3.109E+5	
1557.45000	3.117E+5	
1557.9000	3.112E+5	
1558.35000	3.098E+5	
1558.8000	3.101E+5	
1559.25000	3.084E+5	
1559.7000	3.080E+5	
1560.15000	3.067E+5	
1560.6000	3.034E+5	
1561.05000	3.020E+5	
1561.5000	3.002E+5	
1561.95000	2.987E+5	
1562.4000	2.964E+5	
1562.85000	2.947E+5	
1563.3000	2.916E+5	
1563.75000	2.883E+5	
1564.2000	2.881E+5	
1564.65000	2.850E+5	
1565.1000	2.835E+5	
1565.55000	2.808E+5	
1566.000	2.783E+5	
1566.45000	2.762E+5	
1566.9000	2.736E+5	
1567.35000	2.704E+5	
1567.8000	2.684E+5	
1568.25000	2.651E+5	
1568.7000	2.632E+5	
1569.15000	2.601E+5	
1569.6000	2.578E+5	
1570.05000	2.558E+5	
1570.5000	2.530E+5	
1570.95000	2.500E+5	
1571.4000	2.468E+5	
1571.85000	2.452E+5	
1572.3000	2.422E+5	
1572.75000	2.406E+5	
1573.2000	2.376E+5	
1573.65000	2.345E+5	
1574.1000	2.326E+5	
1574.55000	2.310E+5	
1575.000	2.298E+5	
1575.45000	2.267E+5	
1575.9000	2.258E+5	
1576.35000	2.233E+5	
1576.8000	2.233E+5	
1577.25000	2.207E+5	
1577.7000	2.203E+5	
1578.15000	2.186E+5	
1578.6000	2.181E+5	
1579.05000	2.167E+5	
1579.5000	2.166E+5	
1579.95000	2.152E+5	
1580.4000	2.149E+5	
1580.85000	2.137E+5	
1581.3000	2.131E+5	
1581.75000	2.121E+5	
1582.2000	2.131E+5	
1582.65000	2.108E+5	
1583.1000	2.112E+5	
1583.55000	2.108E+5	
1584.000	2.090E+5	
1584.45000	2.098E+5	
1584.9000	2.096E+5	
1585.35000	2.084E+5	
1585.8000	2.080E+5	
1586.25000	2.082E+5	
1586.7000	2.073E+5	
1587.15000	2.066E+5	
1587.6000	2.061E+5	
1588.05000	2.065E+5	
1588.5000	2.047E+5	
1588.95000	2.048E+5	
1589.4000	2.054E+5	
1589.85000	2.043E+5	
1590.3000	2.039E+5	
1590.75000	2.030E+5	
1591.2000	2.027E+5	
1591.65000	2.028E+5	
1592.1000	2.021E+5	
1592.55000	2.012E+5	
1593.000	2.006E+5	
1593.45000	2.006E+5	
1593.9000	1.995E+5	
1594.35000	1.991E+5	
1594.8000	1.990E+5	
1595.25000	1.982E+5	
1595.7000	1.972E+5	
1596.15000	1.970E+5	
1596.6000	1.956E+5	
1597.05000	1.954E+5	
1597.5000	1.958E+5	
1597.95000	1.944E+5	
1598.4000	1.942E+5	
1598.85000	1.934E+5	
1599.3000	1.924E+5	
1599.75000	1.917E+5	
1600.2000	1.900E+5	
1600.65000	1.897E+5	
1601.1000	1.887E+5	
1601.55000	1.870E+5	
1602.000	1.869E+5	
1602.45000	1.854E+5	
1602.9000	1.852E+5	
1603.35000	1.848E+5	
1603.8000	1.818E+5	
1604.25000	1.817E+5	
1604.7000	1.795E+5	
1605.15000	1.786E+5	
1605.6000	1.764E+5	
1606.05000	1.770E+5	
1606.5000	1.750E+5	
1606.95000	1.740E+5	
1607.4000	1.717E+5	
1607.85000	1.706E+5	
1608.3000	1.690E+5	
1608.75000	1.672E+5	
1609.2000	1.658E+5	
1609.65000	1.636E+5	
1610.1000	1.617E+5	
1610.55000	1.604E+5	
1611.000	1.583E+5	
1611.45000	1.569E+5	
1611.9000	1.540E+5	
1612.35000	1.523E+5	
1612.8000	1.500E+5	
1613.25000	1.486E+5	
1613.7000	1.453E+5	
1614.15000	1.440E+5	
1614.6000	1.414E+5	
1615.05000	1.385E+5	
1615.5000	1.361E+5	
1615.95000	1.322E+5	
1616.4000	1.303E+5	
1616.85000	1.278E+5	
1617.3000	1.252E+5	
1617.75000	1.223E+5	
1618.2000	1.186E+5	
1618.65000	1.160E+5	
1619.1000	1.143E+5	
1619.55000	1.109E+5	
1620.00	1.077E+5	
1620.45000	1.048E+5	
1620.9000	1.017E+5	
1621.35000	9.813E+4	
1621.8000	9.550E+4	
1622.25000	9.326E+4	
1622.7000	9.005E+4	
1623.15000	8.711E+4	
1623.6000	8.375E+4	
1624.05000	8.123E+4	
1624.5000	7.875E+4	
1624.95000	7.628E+4	
1625.4000	7.329E+4	
1625.85000	7.026E+4	
1626.3000	6.847E+4	
1626.75000	6.518E+4	
1627.2000	6.420E+4	
1627.65000	6.146E+4	
1628.1000	5.934E+4	
1628.55000	5.703E+4	
1629.000	5.580E+4	
1629.45000	5.390E+4	
1629.9000	5.182E+4	
1630.35000	4.950E+4	
1630.8000	4.895E+4	
1631.25000	4.726E+4	
1631.7000	4.534E+4	
1632.15000	4.380E+4	
1632.6000	4.276E+4	
1633.05000	4.159E+4	
1633.5000	4.043E+4	
1633.95000	3.935E+4	
1634.4000	3.846E+4	
1634.85000	3.742E+4	
1635.3000	3.679E+4	
1635.75000	3.575E+4	
1636.2000	3.472E+4	
1636.65000	3.400E+4	
1637.1000	3.298E+4	
1637.55000	3.269E+4	
1638.000	3.218E+4	
1638.45000	3.126E+4	
1638.9000	3.105E+4	
1639.35000	3.071E+4	
1639.8000	3.017E+4	
1640.25000	2.952E+4	
1640.7000	2.966E+4	
1641.15000	2.907E+4	
1641.6000	2.872E+4	
1642.05000	2.829E+4	
1642.5000	2.786E+4	
1642.95000	2.765E+4	
1643.4000	2.700E+4	
1643.85000	2.699E+4	
1644.3000	2.657E+4	
1644.75000	2.653E+4	
1645.2000	2.606E+4	
1645.65000	2.544E+4	
1646.1000	2.528E+4	
1646.55000	2.522E+4	
1647.000	2.514E+4	
1647.45000	2.542E+4	
1647.9000	2.457E+4	
1648.35000	2.488E+4	
1648.8000	2.417E+4	
1649.25000	2.412E+4	
1649.7000	2.440E+4	
1650.15000	2.398E+4	
1650.6000	2.407E+4	
1651.05000	2.368E+4	
1651.5000	2.355E+4	
1651.95000	2.345E+4	
1652.4000	2.320E+4	
1652.85000	2.326E+4	
1653.3000	2.323E+4	
1653.75000	2.289E+4	
1654.2000	2.288E+4	
1654.65000	2.308E+4	
1655.1000	2.292E+4	
1655.55000	2.282E+4	
1656.000	2.243E+4	
1656.45000	2.240E+4	
1656.9000	2.287E+4	
1657.35000	2.226E+4	
1657.8000	2.265E+4	
1658.25000	2.230E+4	
1658.7000	2.265E+4	
1659.15000	2.257E+4	
1659.6000	2.230E+4	
1660.05000	2.219E+4	
1660.5000	2.242E+4	
1660.95000	2.205E+4	
1661.4000	2.220E+4	
1661.85000	2.189E+4	
1662.3000	2.211E+4	
1662.75000	2.254E+4	
1663.2000	2.223E+4	
