Air (400mA 10ms)

Labels,Decay52,Decay52F1,Decay52F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.219E+3, , ,
1E05,4.311E+3, , ,
2E05,5.386E+3, , ,
3E05,6.472E+3, , ,
4E05,7.311E+3, , ,
5E05,8.162E+3, , ,
6E05,9.343E+3, , ,
700000.050000,1.013E+4, , ,
800000.060000,1.110E+4, , ,
900000.070000,1.187E+4, , ,
1E06,1.272E+4, , ,
1.1E06,1.357E+4, , ,
1.2E06,1.455E+4, , ,
1.3E06,1.528E+4, , ,
1.4E06,1.611E+4, , ,
1.5E06,1.682E+4, , ,
1.6E06,1.763E+4, , ,
1.7E06,1.847E+4, , ,
1.8E06,1.934E+4, , ,
1.9E06,2.019E+4, , ,
2E06,2.083E+4, , ,
2.1E06,2.152E+4, , ,
2.2E06,2.258E+4, , ,
2.3E06,2.322E+4, , ,
2.4E06,2.432E+4, , ,
2.5E06,2.498E+4, , ,
2.6E06,2.557E+4, , ,
2.7E06,2.624E+4, , ,
2.8E06,2.736E+4, , ,
2.9E06,2.788E+4, , ,
3E06,2.864E+4, , ,
3.1E06,2.925E+4, , ,
3.2E06,2.985E+4, , ,
3.3E06,3.088E+4, , ,
3.4E06,3.140E+4, , ,
3.5E06,3.194E+4, , ,
3.6E06,3.262E+4, , ,
3.7E06,3.341E+4, , ,
3.8E06,3.384E+4, , ,
3.9E06,3.471E+4, , ,
4E06,3.536E+4, , ,
4.1E06,3.599E+4, , ,
4.2E06,3.679E+4, , ,
4.3E06,3.712E+4, , ,
4.4E06,3.785E+4, , ,
4.5E06,3.820E+4, , ,
4.6E06,3.940E+4, , ,
4.7E06,3.951E+4, , ,
4.8E06,4.036E+4, , ,
4.9E06,4.059E+4, , ,
5E06,4.153E+4, , ,
5.1E06,4.201E+4, , ,
5.2E06,4.275E+4, , ,
5.3E06,4.336E+4, , ,
5.4E06,4.375E+4, , ,
5.5E06,4.441E+4, , ,
5.6E06,4.514E+4, , ,
5.7E06,4.552E+4, , ,
5.8E06,4.625E+4, , ,
