Water (400mA 10ms)

Labels,Decay60,Decay60F1,Decay60F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.229E+3, , ,
1E05,4.883E+3, , ,
2E05,5.862E+3, , ,
3E05,6.717E+3, , ,
4E05,7.810E+3, , ,
5E05,8.581E+3, , ,
6E05,9.500E+3, , ,
700000.050000,1.025E+4, , ,
800000.060000,1.123E+4, , ,
900000.070000,1.215E+4, , ,
1E06,1.318E+4, , ,
1.1E06,1.369E+4, , ,
1.2E06,1.473E+4, , ,
1.3E06,1.545E+4, , ,
1.4E06,1.622E+4, , ,
1.5E06,1.718E+4, , ,
1.6E06,1.772E+4, , ,
1.7E06,1.847E+4, , ,
1.8E06,1.942E+4, , ,
1.9E06,2.029E+4, , ,
2E06,2.097E+4, , ,
2.1E06,2.150E+4, , ,
2.2E06,2.234E+4, , ,
2.3E06,2.330E+4, , ,
2.4E06,2.407E+4, , ,
2.5E06,2.440E+4, , ,
2.6E06,2.523E+4, , ,
2.7E06,2.597E+4, , ,
2.8E06,2.673E+4, , ,
2.9E06,2.730E+4, , ,
3E06,2.817E+4, , ,
3.1E06,2.899E+4, , ,
3.2E06,2.982E+4, , ,
3.3E06,3.006E+4, , ,
3.4E06,3.061E+4, , ,
3.5E06,3.138E+4, , ,
3.6E06,3.226E+4, , ,
3.7E06,3.279E+4, , ,
3.8E06,3.345E+4, , ,
3.9E06,3.388E+4, , ,
4E06,3.470E+4, , ,
4.1E06,3.542E+4, , ,
4.2E06,3.533E+4, , ,
4.3E06,3.621E+4, , ,
4.4E06,3.724E+4, , ,
4.5E06,3.758E+4, , ,
4.6E06,3.824E+4, , ,
4.7E06,3.893E+4, , ,
4.8E06,3.958E+4, , ,
4.9E06,4.003E+4, , ,
5E06,4.056E+4, , ,
5.1E06,4.139E+4, , ,
5.2E06,4.166E+4, , ,
5.3E06,4.224E+4, , ,
5.4E06,4.262E+4, , ,
5.5E06,4.301E+4, , ,
5.6E06,4.400E+4, , ,
5.7E06,4.414E+4, , ,
5.8E06,4.522E+4, , ,
