Air (400mA)

Labels,Decay49,Decay49F1,Decay49F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.027E+3, , ,
1E05,4.180E+3, , ,
2E05,5.361E+3, , ,
3E05,6.338E+3, , ,
4E05,7.317E+3, , ,
5E05,8.134E+3, , ,
6E05,9.206E+3, , ,
700000.050000,1.009E+4, , ,
800000.060000,1.088E+4, , ,
900000.070000,1.176E+4, , ,
1E06,1.274E+4, , ,
1.1E06,1.242E+4,1.210E+4,2.894E+0,
1.2E06,1.221E+4,1.202E+4,1.685E+0,
1.3E06,1.189E+4,1.195E+4,-5.761E-1,
1.4E06,1.191E+4,1.188E+4,3.082E-1,
1.5E06,1.202E+4,1.181E+4,1.902E+0,
1.6E06,1.193E+4,1.174E+4,1.711E+0,
1.7E06,1.167E+4,1.167E+4,-1.341E-2,
1.8E06,1.174E+4,1.160E+4,1.299E+0,
1.9E06,1.166E+4,1.153E+4,1.225E+0,
2E06,1.155E+4,1.146E+4,8.408E-1,
2.1E06,1.161E+4,1.140E+4,2.022E+0,
2.2E06,1.143E+4,1.133E+4,9.524E-1,
2.3E06,1.121E+4,1.126E+4,-4.985E-1,
2.4E06,1.118E+4,1.120E+4,-1.693E-1,
2.5E06,1.119E+4,1.113E+4,5.147E-1,
2.6E06,1.123E+4,1.107E+4,1.512E+0,
2.7E06,1.104E+4,1.100E+4,3.570E-1,
2.8E06,1.093E+4,1.094E+4,-1.026E-1,
2.9E06,1.101E+4,1.087E+4,1.329E+0,
3E06,1.077E+4,1.081E+4,-4.120E-1,
3.1E06,1.090E+4,1.075E+4,1.451E+0,
3.2E06,1.061E+4,1.069E+4,-8.043E-1,
3.3E06,1.051E+4,1.063E+4,-1.177E+0,
3.4E06,1.056E+4,1.057E+4,-2.816E-2,
3.5E06,1.051E+4,1.051E+4,7.149E-2,
3.6E06,1.042E+4,1.045E+4,-2.148E-1,
3.7E06,1.042E+4,1.039E+4,3.557E-1,
3.8E06,1.012E+4,1.033E+4,-2.037E+0,
3.9E06,1.023E+4,1.027E+4,-3.521E-1,
