Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.223E+3, , ,
1E05,4.829E+3, , ,
2E05,5.810E+3, , ,
3E05,6.911E+3, , ,
4E05,7.793E+3, , ,
5E05,8.648E+3, , ,
6E05,9.578E+3, , ,
700000.050000,1.045E+4, , ,
800000.060000,1.151E+4, , ,
900000.070000,1.223E+4, , ,
1E06,1.294E+4, , ,
1.1E06,1.238E+4,1.197E+4,3.698E+0,
1.2E06,1.193E+4,1.190E+4,2.559E-1,
1.3E06,1.195E+4,1.183E+4,1.151E+0,
1.4E06,1.190E+4,1.175E+4,1.302E+0,
1.5E06,1.199E+4,1.168E+4,2.810E+0,
1.6E06,1.179E+4,1.161E+4,1.582E+0,
1.7E06,1.148E+4,1.154E+4,-5.668E-1,
1.8E06,1.157E+4,1.147E+4,9.128E-1,
1.9E06,1.144E+4,1.141E+4,2.951E-1,
2E06,1.143E+4,1.134E+4,8.172E-1,
2.1E06,1.144E+4,1.127E+4,1.567E+0,
2.2E06,1.122E+4,1.120E+4,1.443E-1,
2.3E06,1.124E+4,1.114E+4,9.848E-1,
2.4E06,1.107E+4,1.107E+4,-9.401E-3,
2.5E06,1.103E+4,1.101E+4,1.911E-1,
2.6E06,1.100E+4,1.094E+4,5.490E-1,
2.7E06,1.094E+4,1.088E+4,5.504E-1,
2.8E06,1.094E+4,1.082E+4,1.224E+0,
2.9E06,1.088E+4,1.075E+4,1.189E+0,
3E06,1.087E+4,1.069E+4,1.692E+0,
3.1E06,1.055E+4,1.063E+4,-7.762E-1,
3.2E06,1.059E+4,1.057E+4,2.300E-1,
3.3E06,1.051E+4,1.051E+4,-4.297E-3,
3.4E06,1.048E+4,1.045E+4,2.926E-1,
3.5E06,1.035E+4,1.039E+4,-3.358E-1,
3.6E06,1.042E+4,1.033E+4,8.645E-1,
3.7E06,1.038E+4,1.027E+4,1.120E+0,
3.8E06,1.022E+4,1.021E+4,9.455E-2,
3.9E06,9.933E+3,1.015E+4,-2.192E+0,
