Water (400mA)

Labels,Decay36,Decay36F1,Decay36F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

0.00,3.072E+3, , ,
1E05,4.884E+3, , ,
2E05,5.558E+3, , ,
3E05,6.327E+3, , ,
4E05,6.759E+3, , ,
5E05,7.328E+3, , ,
6E05,7.866E+3, , ,
700000.050000,8.539E+3, , ,
800000.060000,9.077E+3, , ,
900000.070000,9.555E+3, , ,
1E06,1.003E+4, , ,
1.1E06,8.784E+3,8.697E+3,9.240E-1,
1.2E06,8.661E+3,8.651E+3,1.028E-1,
1.3E06,8.775E+3,8.606E+3,1.806E+0,
1.4E06,8.621E+3,8.561E+3,6.502E-1,
1.5E06,8.411E+3,8.516E+3,-1.143E+0,
1.6E06,8.498E+3,8.471E+3,2.896E-1,
1.7E06,8.799E+3,8.427E+3,3.964E+0,
1.8E06,8.422E+3,8.383E+3,4.203E-1,
1.9E06,8.339E+3,8.340E+3,-1.126E-2,
2E06,8.507E+3,8.297E+3,2.277E+0,
2.1E06,8.420E+3,8.254E+3,1.806E+0,
2.2E06,8.302E+3,8.212E+3,9.883E-1,
2.3E06,8.287E+3,8.170E+3,1.286E+0,
2.4E06,8.212E+3,8.128E+3,9.237E-1,
2.5E06,8.315E+3,8.087E+3,2.501E+0,
2.6E06,8.050E+3,8.046E+3,4.447E-2,
2.7E06,8.038E+3,8.005E+3,3.640E-1,
2.8E06,8.023E+3,7.965E+3,6.469E-1,
2.9E06,7.962E+3,7.925E+3,4.137E-1,
3E06,8.136E+3,7.885E+3,2.778E+0,
3.1E06,7.878E+3,7.846E+3,3.594E-1,
3.2E06,7.749E+3,7.807E+3,-6.600E-1,
3.3E06,7.896E+3,7.768E+3,1.436E+0,
3.4E06,7.746E+3,7.730E+3,1.814E-1,
3.5E06,7.931E+3,7.692E+3,2.684E+0,
3.6E06,7.516E+3,7.654E+3,-1.594E+0,
3.7E06,7.533E+3,7.617E+3,-9.654E-1,
3.8E06,7.401E+3,7.580E+3,-2.077E+0,
3.9E06,7.578E+3,7.543E+3,4.040E-1,
