Labels	no pinhole	
Type	Time Scan	
Comment		
Start	0.00	
Stop	99975008.000000	
Step	2.5E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

0.00	7.280E+2	
2.5E04	6.960E+2	
5E04	7.090E+2	
75000.006000	7.360E+2	
1E05	7.560E+2	
1.25E05	7.650E+2	
1.5E05	9.210E+2	
1.75E05	1.043E+3	
2E05	1.148E+3	
2.25E05	1.355E+3	
2.5E05	1.432E+3	
2.75E05	1.641E+3	
3E05	1.779E+3	
3.25E05	1.826E+3	
3.5E05	1.930E+3	
3.75E05	2.121E+3	
4E05	2.303E+3	
4.25E05	2.336E+3	
4.5E05	2.473E+3	
4.75E05	2.535E+3	
5E05	2.740E+3	
5.25E05	2.794E+3	
5.5E05	3.002E+3	
5.75E05	3.068E+3	
6E05	3.265E+3	
6.25E05	3.347E+3	
650000.050000	3.465E+3	
675000.050000	3.614E+3	
700000.050000	3.678E+3	
725000.060000	3.756E+3	
750000.060000	3.998E+3	
775000.060000	4.019E+3	
800000.060000	4.150E+3	
825000.060000	4.349E+3	
850000.070000	4.518E+3	
875000.070000	4.557E+3	
900000.070000	4.712E+3	
925000.070000	4.758E+3	
950000.070000	4.845E+3	
975000.080000	5.091E+3	
1E06	5.204E+3	
1.025E006	5.279E+3	
1.05E06	5.363E+3	
1.075E006	5.398E+3	
1.1E06	5.628E+3	
1.125E006	5.853E+3	
1.15E06	5.823E+3	
1.175E006	5.896E+3	
1.2E06	6.005E+3	
1.225E006	6.037E+3	
1.25E06	6.238E+3	
1.275E006	6.404E+3	
1.3E06	6.497E+3	
1.325E006	6.563E+3	
1.35E06	6.688E+3	
1.375E006	6.624E+3	
1.4E06	7.032E+3	
1.425E006	6.968E+3	
1.45E06	7.185E+3	
1.475E006	7.220E+3	
1.5E06	7.356E+3	
1.525E006	7.493E+3	
1.55E06	7.473E+3	
1.575E006	7.519E+3	
1.6E06	7.832E+3	
1.625E006	7.970E+3	
1.65E06	7.844E+3	
1.675E006	8.163E+3	
1.7E06	8.083E+3	
1.725E006	8.392E+3	
1.75E06	8.399E+3	
1.775E006	8.566E+3	
1.8E06	8.645E+3	
1.825E006	8.759E+3	
1.85E06	8.743E+3	
1.875E006	8.928E+3	
1.9E06	9.063E+3	
1.925E006	9.015E+3	
1.95E06	9.268E+3	
1.975E006	9.358E+3	
2E06	9.537E+3	
2.025E006	9.580E+3	
2.05E06	9.612E+3	
2.075E006	9.730E+3	
2.1E06	9.898E+3	
2.125E006	9.947E+3	
2.15E06	9.936E+3	
2.175E006	9.742E+3	
2.2E06	9.829E+3	
2.225E006	9.946E+3	
2.25E06	9.755E+3	
2.275E006	9.651E+3	
2.3E06	9.766E+3	
2.325E006	9.688E+3	
2.35E06	9.651E+3	
2.375E006	9.573E+3	
2.4E06	9.557E+3	
2.425E006	9.496E+3	
2.45E06	9.690E+3	
2.475E006	9.687E+3	
2.5E06	9.376E+3	
2.525E006	9.550E+3	
2.55E06	9.453E+3	
2.575E006	9.352E+3	
2.6E06	9.530E+3	
2.625E006	9.418E+3	
2.65E06	9.648E+3	
2.675E006	9.386E+3	
2.7E06	9.250E+3	
2.725E006	9.338E+3	
2.75E06	9.303E+3	
2.775E006	9.286E+3	
2.8E06	9.020E+3	
2.825E006	9.149E+3	
2.85E06	9.184E+3	
2.875E006	9.036E+3	
2.9E06	9.207E+3	
2.925E006	9.095E+3	
2.95E06	9.168E+3	
2.975E006	9.134E+3	
3E06	9.231E+3	
3.025E006	9.032E+3	
3.05E06	8.986E+3	
3.075E006	9.149E+3	
3.1E06	9.130E+3	
3.125E006	8.986E+3	
3.15E06	8.910E+3	
3.175E006	8.938E+3	
3.2E06	8.775E+3	
3.225E006	9.005E+3	
3.25E06	8.858E+3	
3.275E006	8.944E+3	
3.3E06	8.950E+3	
3.325E006	8.769E+3	
3.35E06	9.011E+3	
3.375E006	8.822E+3	
3.4E06	8.870E+3	
3.425E006	8.645E+3	
3.45E06	8.700E+3	
3.475E006	8.707E+3	
3.5E06	8.698E+3	
3.525E006	8.781E+3	
3.55E06	8.694E+3	
3.575E006	8.617E+3	
3.6E06	8.674E+3	
3.625E006	8.500E+3	
3.65E06	8.392E+3	
3.675E006	8.503E+3	
3.7E06	8.603E+3	
3.725E006	8.584E+3	
3.75E06	8.543E+3	
3.775E006	8.403E+3	
3.8E06	8.403E+3	
3.825E006	8.494E+3	
3.85E06	8.410E+3	
3.875E006	8.265E+3	
3.9E06	8.360E+3	
3.925E006	8.343E+3	
3.95E06	8.306E+3	
3.975E006	8.454E+3	
4E06	8.329E+3	
4.025E006	8.228E+3	
4.05E06	8.297E+3	
4.075E006	8.089E+3	
4.1E06	8.250E+3	
4.125E006	8.095E+3	
4.15E06	8.331E+3	
4.175E006	8.050E+3	
4.2E06	8.260E+3	
4.225E006	8.060E+3	
4.25E06	8.206E+3	
4.275E006	8.088E+3	
4.3E06	8.095E+3	
4.325E006	7.888E+3	
4.35E06	7.991E+3	
4.375E006	8.143E+3	
4.4E06	7.977E+3	
4.425E006	8.182E+3	
4.45E06	8.045E+3	
4.475E006	7.893E+3	
4.5E06	8.108E+3	
4.525E006	7.945E+3	
4.55E06	7.963E+3	
4.575E006	7.793E+3	
4.6E06	7.998E+3	
4.625E006	7.677E+3	
4.65E06	7.789E+3	
4.675E006	7.803E+3	
4.7E06	7.672E+3	
4.725E006	7.779E+3	
4.75E06	7.818E+3	
4.775E006	7.723E+3	
4.8E06	7.858E+3	
4.825E006	7.726E+3	
4.85E06	7.604E+3	
4.875E006	7.749E+3	
4.9E06	7.805E+3	
4.925E006	7.540E+3	
4.95E06	7.588E+3	
4.975E006	7.627E+3	
5E06	7.656E+3	
5.025E006	7.655E+3	
5.05E06	7.625E+3	
5.075E006	7.487E+3	
5.1E06	7.639E+3	
5.125E006	7.357E+3	
5.15E06	7.535E+3	
5.175E006	7.622E+3	
5.2E06	7.395E+3	
5.225E006	7.404E+3	
5.25E06	7.552E+3	
5.275E006	7.368E+3	
5.3E06	7.338E+3	
5.325E006	7.292E+3	
5.35E06	7.356E+3	
5.375E006	7.445E+3	
5.4E06	7.288E+3	
5.425E006	7.285E+3	
5.45E06	7.288E+3	
5.475E006	7.331E+3	
5.5E06	7.344E+3	
5.525E006	7.290E+3	
5.55E06	7.134E+3	
5.575E006	7.137E+3	
5.6E06	7.333E+3	
5.625E006	7.225E+3	
5.65E06	7.265E+3	
5.675E006	7.156E+3	
5.7E06	7.115E+3	
5.725E006	7.101E+3	
5.75E06	7.120E+3	
5.775E006	6.998E+3	
5.8E06	7.081E+3	
5.825E006	7.170E+3	
5.85E06	7.053E+3	
5.875E006	7.105E+3	
5.9E06	6.875E+3	
5.925E006	6.946E+3	
5.95E06	6.992E+3	
5.975E006	6.979E+3	
6E06	6.960E+3	
6.025E006	6.913E+3	
6.05E06	6.929E+3	
6.075E006	6.796E+3	
6.1E06	6.991E+3	
6.125E006	6.689E+3	
6.15E06	6.820E+3	
6.175E006	6.794E+3	
6.2E06	6.763E+3	
6.225E006	6.803E+3	
6.25E06	6.805E+3	
6.275E006	6.789E+3	
6.3E06	6.704E+3	
6.325E006	6.672E+3	
6.35E06	6.700E+3	
6.375E006	6.620E+3	
6400000.500000	6.683E+3	
6425000.500000	6.806E+3	
6450000.500000	6.604E+3	
6475000.500000	6.724E+3	
6500000.500000	6.534E+3	
6525000.500000	6.468E+3	
6550000.500000	6.650E+3	
6575000.500000	6.522E+3	
6600000.500000	6.455E+3	
6625000.500000	6.631E+3	
6650000.500000	6.671E+3	
6675000.500000	6.531E+3	
6700000.500000	6.518E+3	
6725000.500000	6.519E+3	
6750000.500000	6.620E+3	
6775000.500000	6.515E+3	
6800000.500000	6.423E+3	
6825000.500000	6.590E+3	
6850000.500000	6.375E+3	
6875000.500000	6.651E+3	
6900000.500000	6.350E+3	
6925000.500000	6.384E+3	
6950000.500000	6.178E+3	
6975000.500000	6.321E+3	
7000000.500000	6.533E+3	
7025000.500000	6.349E+3	
7050000.600000	6.368E+3	
7075000.600000	6.318E+3	
7100000.600000	6.347E+3	
7125000.600000	6.304E+3	
7150000.600000	6.358E+3	
7175000.600000	6.238E+3	
7200000.600000	6.153E+3	
7225000.600000	6.456E+3	
7250000.600000	6.208E+3	
7275000.600000	6.200E+3	
7300000.600000	6.279E+3	
7325000.600000	6.132E+3	
7350000.600000	6.300E+3	
7375000.600000	6.207E+3	
7400000.600000	6.106E+3	
7425000.600000	6.150E+3	
7450000.600000	6.078E+3	
7475000.600000	6.175E+3	
7500000.600000	6.103E+3	
7525000.600000	6.030E+3	
7550000.600000	6.043E+3	
7575000.600000	6.142E+3	
7600000.600000	5.951E+3	
7625000.600000	6.162E+3	
7650000.600000	6.031E+3	
7675000.600000	6.086E+3	
7700000.600000	5.986E+3	
7725000.600000	6.024E+3	
7750000.600000	5.985E+3	
7775000.600000	6.089E+3	
7800000.600000	5.925E+3	
7825000.600000	5.913E+3	
7850000.600000	5.874E+3	
7875000.600000	5.781E+3	
7900000.600000	5.890E+3	
7925000.600000	5.794E+3	
7950000.600000	5.932E+3	
7975000.600000	5.868E+3	
8000000.600000	5.850E+3	
8025000.600000	5.948E+3	
8050000.600000	5.767E+3	
8075000.600000	5.798E+3	
8100000.600000	5.775E+3	
8125000.600000	5.749E+3	
8150000.600000	5.788E+3	
