nm, %T
3300.000000, 92.729462
3299.000000, 92.762885
3298.000000, 92.553017
3297.000000, 92.653738
3296.000000, 92.528810
3295.000000, 92.695767
3294.000000, 92.646194
3293.000000, 92.709749
3292.000000, 92.721347
3291.000000, 92.694663
3290.000000, 92.770226
3289.000000, 92.724038
3288.000000, 92.702305
3287.000000, 92.674413
3286.000000, 92.593826
3285.000000, 92.687714
3284.000000, 92.635859
3283.000000, 92.648558
3282.000000, 92.685485
3281.000000, 92.591739
3280.000000, 92.551622
3279.000000, 92.605380
3278.000000, 92.572827
3277.000000, 92.568907
3276.000000, 92.577970
3275.000000, 92.598710
3274.000000, 92.712174
3273.000000, 92.558499
3272.000000, 92.559368
3271.000000, 92.552928
3270.000000, 92.653514
3269.000000, 92.599065
3268.000000, 92.619158
3267.000000, 92.681921
3266.000000, 92.627056
3265.000000, 92.682942
3264.000000, 92.567649
3263.000000, 92.546635
3262.000000, 92.572516
3261.000000, 92.573775
3260.000000, 92.579636
3259.000000, 92.719824
3258.000000, 92.595111
3257.000000, 92.541402
3256.000000, 92.540380
3255.000000, 92.502363
3254.000000, 92.562401
3253.000000, 92.498972
3252.000000, 92.511082
3251.000000, 92.503340
3250.000000, 92.562250
3249.000000, 92.484585
3248.000000, 92.423452
3247.000000, 92.544759
3246.000000, 92.479661
3245.000000, 92.484118
3244.000000, 92.541041
3243.000000, 92.481906
3242.000000, 92.479860
3241.000000, 92.504870
3240.000000, 92.478348
3239.000000, 92.440905
3238.000000, 92.454682
3237.000000, 92.503430
3236.000000, 92.450116
3235.000000, 92.462516
3234.000000, 92.465940
3233.000000, 92.405381
3232.000000, 92.406191
3231.000000, 92.434726
3230.000000, 92.464288
3229.000000, 92.464970
3228.000000, 92.427394
3227.000000, 92.458416
3226.000000, 92.411940
3225.000000, 92.446183
3224.000000, 92.419391
3223.000000, 92.414660
3222.000000, 92.399272
3221.000000, 92.398380
3220.000000, 92.399980
3219.000000, 92.375739
3218.000000, 92.363763
3217.000000, 92.404833
3216.000000, 92.393252
3215.000000, 92.404723
3214.000000, 92.386532
3213.000000, 92.393320
3212.000000, 92.390628
3211.000000, 92.376292
3210.000000, 92.350660
3209.000000, 92.340748
3208.000000, 92.394014
3207.000000, 92.432694
3206.000000, 92.362269
3205.000000, 92.346143
3204.000000, 92.349424
3203.000000, 92.376761
3202.000000, 92.393735
3201.000000, 92.375221
