nm, %T
3300.000000, 92.889095
3299.000000, 92.939784
3298.000000, 92.730829
3297.000000, 92.776525
3296.000000, 92.658985
3295.000000, 92.826222
3294.000000, 92.764422
3293.000000, 92.815089
3292.000000, 92.861252
3291.000000, 92.794001
3290.000000, 92.910461
3289.000000, 92.875232
3288.000000, 92.885578
3287.000000, 92.773273
3286.000000, 92.827252
3285.000000, 92.831938
3284.000000, 92.836526
3283.000000, 92.833250
3282.000000, 92.824422
3281.000000, 92.790061
3280.000000, 92.817048
3279.000000, 92.831022
3278.000000, 92.871615
3277.000000, 92.924020
3276.000000, 92.807532
3275.000000, 92.823353
3274.000000, 92.883059
3273.000000, 92.791796
3272.000000, 92.801435
3271.000000, 92.776348
3270.000000, 92.722481
3269.000000, 92.701713
3268.000000, 92.788741
3267.000000, 92.818949
3266.000000, 92.773651
3265.000000, 92.822054
3264.000000, 92.766691
3263.000000, 92.768899
3262.000000, 92.786875
3261.000000, 92.764889
3260.000000, 92.841795
3259.000000, 92.879244
3258.000000, 92.742066
3257.000000, 92.801135
3256.000000, 92.740397
3255.000000, 92.772645
3254.000000, 92.740981
3253.000000, 92.722480
3252.000000, 92.786271
3251.000000, 92.699068
3250.000000, 92.776669
3249.000000, 92.696256
3248.000000, 92.711329
3247.000000, 92.810666
3246.000000, 92.754230
3245.000000, 92.797576
3244.000000, 92.806692
3243.000000, 92.735154
3242.000000, 92.743827
3241.000000, 92.699360
3240.000000, 92.695419
3239.000000, 92.707153
3238.000000, 92.727558
3237.000000, 92.712095
3236.000000, 92.704530
3235.000000, 92.767959
3234.000000, 92.747464
3233.000000, 92.697973
3232.000000, 92.671765
3231.000000, 92.720169
3230.000000, 92.728110
3229.000000, 92.741212
3228.000000, 92.718676
3227.000000, 92.717410
3226.000000, 92.698317
3225.000000, 92.712615
3224.000000, 92.678682
3223.000000, 92.686435
3222.000000, 92.662127
3221.000000, 92.682521
3220.000000, 92.701144
3219.000000, 92.635194
3218.000000, 92.656693
3217.000000, 92.678338
3216.000000, 92.644990
3215.000000, 92.670055
3214.000000, 92.660719
3213.000000, 92.647999
3212.000000, 92.674498
3211.000000, 92.680738
3210.000000, 92.682294
3209.000000, 92.678438
3208.000000, 92.676469
3207.000000, 92.683526
3206.000000, 92.679484
3205.000000, 92.702630
3204.000000, 92.686100
3203.000000, 92.675361
3202.000000, 92.704208
3201.000000, 92.698530
3200.000000, 92.697690
3199.000000, 92.691354
3198.000000, 92.650882
3197.000000, 92.658257
3196.000000, 92.678074
3195.000000, 92.699327
3194.000000, 92.698714
3193.000000, 92.678668
3192.000000, 92.672124
3191.000000, 92.638974
3190.000000, 92.619624
3189.000000, 92.616212
3188.000000, 92.643426
3187.000000, 92.650757
3186.000000, 92.651629
3185.000000, 92.644935
3184.000000, 92.643528
3183.000000, 92.687666
3182.000000, 92.697499
3181.000000, 92.670101
3180.000000, 92.661976
3179.000000, 92.623499
3178.000000, 92.613227
3177.000000, 92.603086
3176.000000, 92.596638
3175.000000, 92.622302
3174.000000, 92.628652
3173.000000, 92.644925
3172.000000, 92.643330
3171.000000, 92.647256
3170.000000, 92.645066
3169.000000, 92.624677
3168.000000, 92.603438
3167.000000, 92.584309
3166.000000, 92.614656
3165.000000, 92.639003
3164.000000, 92.596401
3163.000000, 92.590669
3162.000000, 92.596811
3161.000000, 92.606078
3160.000000, 92.599819
3159.000000, 92.596165
3158.000000, 92.638060
3157.000000, 92.630286
3156.000000, 92.617598
3155.000000, 92.602077
3154.000000, 92.601952
3153.000000, 92.592279
3152.000000, 92.604243
3151.000000, 92.611205
3150.000000, 92.592190
