nm, %R
3300.000000, 201.446400
3299.000000, 211.379500
3298.000000, 203.560800
3297.000000, 210.232500
3296.000000, 234.739200
3295.000000, 231.446800
3294.000000, 239.880300
3293.000000, 231.872100
3292.000000, 248.621500
3291.000000, 269.813900
3290.000000, 276.419100
3289.000000, 275.942400
3288.000000, 280.497500
3287.000000, 314.453500
3286.000000, 313.663600
3285.000000, 350.041900
3284.000000, 363.030400
3283.000000, 380.841000
3282.000000, 381.485200
3281.000000, 403.082500
3280.000000, 445.105400
3279.000000, 462.374100
3278.000000, 518.010800
3277.000000, 494.843300
3276.000000, 556.644500
3275.000000, 589.004300
3274.000000, 595.215200
3273.000000, 684.130800
3272.000000, 657.127800
3271.000000, 682.468800
3270.000000, 806.801400
3269.000000, 831.371400
3268.000000, 980.265600
3267.000000, 1160.493300
3266.000000, 1227.428100
3265.000000, 1506.973900
3264.000000, 1926.546100
3263.000000, 2845.274200
3262.000000, 2380.106700
3261.000000, -12918.217500
3260.000000, -2090.364500
3259.000000, -1658.477800
3258.000000, -1188.217800
3257.000000, -892.782000
3256.000000, -794.994200
3255.000000, -569.427800
3254.000000, -471.708000
3253.000000, -389.556400
3252.000000, -358.043600
3251.000000, -332.866000
3250.000000, -298.025400
3249.000000, -272.550600
3248.000000, -249.082800
3247.000000, -228.020900
3246.000000, -215.060700
3245.000000, -200.108000
3244.000000, -186.014200
3243.000000, -180.259500
3242.000000, -167.693900
3241.000000, -163.277900
3240.000000, -157.073200
3239.000000, -150.226100
3238.000000, -141.588800
3237.000000, -136.482800
3236.000000, -130.728000
3235.000000, -131.294900
3234.000000, -128.437300
3233.000000, -124.268900
3232.000000, -120.644900
3231.000000, -116.604800
3230.000000, -114.433000
3229.000000, -113.128400
3228.000000, -111.719200
3227.000000, -108.590200
3226.000000, -105.219100
3225.000000, -102.806300
3224.000000, -100.215600
3223.000000, -100.534200
3222.000000, -99.498300
3221.000000, -96.224900
3220.000000, -93.334100
3219.000000, -89.700200
3218.000000, -87.764800
3217.000000, -84.453500
3216.000000, -82.109200
3215.000000, -82.901000
3214.000000, -81.432000
3213.000000, -79.034600
3212.000000, -77.884400
3211.000000, -76.244800
3210.000000, -74.275000
3209.000000, -72.395900
3208.000000, -70.757300
3207.000000, -69.197500
3206.000000, -68.446900
3205.000000, -66.009900
3204.000000, -64.169500
3203.000000, -62.827900
3202.000000, -61.555200
3201.000000, -60.784100
3200.000000, -59.060500
3199.000000, -57.804700
3198.000000, -56.903400
3197.000000, -55.510300
