nm, %R
3300.000000, -8.741600
3299.000000, -8.614000
3298.000000, 11.321000
3297.000000, 4.362300
3296.000000, -18.139000
3295.000000, 2.655800
3294.000000, -11.528100
3293.000000, 11.488800
3292.000000, -5.200100
3291.000000, -10.750900
3290.000000, -3.222200
3289.000000, -3.268700
3288.000000, 23.286700
3287.000000, -7.427500
3286.000000, 19.542400
3285.000000, -15.496500
3284.000000, 0.446300
3283.000000, 14.349700
3282.000000, 7.495700
3281.000000, 16.638500
3280.000000, 8.619800
3279.000000, -7.319300
3278.000000, -28.725400
3277.000000, 68.317700
3276.000000, 10.658000
3275.000000, -26.833000
3274.000000, 26.887400
3273.000000, -27.063600
3272.000000, 102.435700
3271.000000, 49.145300
3270.000000, 42.996200
3269.000000, 2.646800
3268.000000, -35.855800
3267.000000, 100.355100
3266.000000, 459.007800
3265.000000, 1092.122800
3264.000000, 2980.772000
3263.000000, 5162.716100
3262.000000, -5595.425400
3261.000000, 11481.992800
3260.000000, 903.129300
3259.000000, 724.192900
3258.000000, 484.773600
3257.000000, 396.579900
3256.000000, 427.040500
3255.000000, 225.671300
3254.000000, 179.077400
3253.000000, 134.364700
3252.000000, 130.375300
3251.000000, 110.964800
3250.000000, 108.203200
3249.000000, 99.347500
3248.000000, 89.742200
3247.000000, 79.285700
3246.000000, 75.731600
3245.000000, 72.035300
3244.000000, 66.116900
3243.000000, 72.055200
3242.000000, 60.275500
3241.000000, 64.537900
3240.000000, 64.575200
3239.000000, 62.114400
3238.000000, 54.777300
3237.000000, 52.464100
3236.000000, 53.436300
3235.000000, 56.556400
3234.000000, 54.504900
3233.000000, 53.134700
3232.000000, 52.683500
3231.000000, 49.336200
3230.000000, 49.348400
3229.000000, 50.420700
3228.000000, 50.598500
3227.000000, 48.227900
3226.000000, 46.735200
3225.000000, 46.200700
3224.000000, 46.623100
3223.000000, 46.644700
3222.000000, 48.118500
3221.000000, 48.386000
3220.000000, 46.588100
3219.000000, 44.078100
3218.000000, 43.261700
3217.000000, 43.181200
3216.000000, 41.235200
3215.000000, 42.211000
3214.000000, 43.148700
3213.000000, 42.572100
3212.000000, 43.055300
3211.000000, 41.166600
3210.000000, 40.987200
3209.000000, 39.509000
3208.000000, 39.443600
3207.000000, 39.087600
3206.000000, 39.005000
3205.000000, 38.038300
3204.000000, 37.265200
3203.000000, 36.861600
3202.000000, 36.518300
3201.000000, 37.179300
3200.000000, 36.238900
3199.000000, 36.332700
3198.000000, 36.567800
3197.000000, 35.661300
3196.000000, 34.455900
3195.000000, 35.128000
3194.000000, 35.657300
3193.000000, 34.807300
3192.000000, 35.111800
3191.000000, 33.880200
3190.000000, 33.244400
3189.000000, 32.969500
3188.000000, 33.165500
3187.000000, 33.290500
3186.000000, 32.551000
3185.000000, 32.088600
3184.000000, 31.756200
3183.000000, 32.004900
3182.000000, 31.748600
3181.000000, 31.303400
3180.000000, 31.539600
3179.000000, 32.069100
3178.000000, 30.898000
3177.000000, 29.925500
3176.000000, 30.435800
3175.000000, 30.845800
3174.000000, 30.958800
3173.000000, 31.096200
3172.000000, 30.313700
3171.000000, 29.799400
3170.000000, 30.371200
3169.000000, 30.017200
3168.000000, 29.401800
3167.000000, 29.531700
3166.000000, 30.017900
3165.000000, 29.921800
3164.000000, 29.628800
3163.000000, 29.556400
3162.000000, 29.521000
3161.000000, 29.222400
3160.000000, 28.791000
3159.000000, 28.875600
3158.000000, 28.898200
3157.000000, 28.949200
3156.000000, 28.701400
3155.000000, 28.541800
3154.000000, 28.679000
3153.000000, 28.769800
